Date,Open,High,Low,Close,Volume
2021-10-04,43,44,43,43,48273400
2021-10-05,43,44,43,44,54070700
2021-10-06,43,44,43,44,47031700
2021-10-07,44,44,44,44,46258800
2021-10-08,44,44,43,44,39389400
2021-10-11,44,44,43,43,36283500
2021-10-12,43,44,43,43,36898300
2021-10-13,43,43,42,43,43908000
2021-10-14,44,45,43,45,82201000
2021-10-15,45,46,45,46,64264900
2021-10-18,46,46,46,46,49542500
2021-10-19,46,46,46,46,32515500
2021-10-20,46,47,46,47,40411000
2021-10-21,47,47,46,46,36848600
2021-10-22,46,47,46,47,36225600
2021-10-25,47,47,47,47,31679500
2021-10-26,47,48,47,47,35674800
2021-10-27,47,48,47,47,45790800
2021-10-28,47,48,47,47,37209600
2021-10-29,47,48,47,47,31756200
2021-11-01,48,48,47,47,36937200
2021-11-02,47,48,47,47,36283400
2021-11-03,47,48,47,48,42553000
2021-11-04,48,48,46,47,47646300
2021-11-05,47,47,46,46,38271200
2021-11-08,47,47,47,47,33815500
2021-11-09,46,47,46,46,36900300
2021-11-10,46,47,46,47,39385600
2021-11-11,47,47,47,47,31194800
2021-11-12,47,47,46,46,44268500
2021-11-15,47,47,46,47,35335500
2021-11-16,47,47,46,47,35120800
2021-11-17,47,47,46,46,32963700
2021-11-18,46,46,46,46,30639000
2021-11-19,45,45,44,45,48429500
2021-11-22,46,46,45,46,53697100
2021-11-23,46,47,46,47,49362900
2021-11-24,47,47,47,47,40060000
2021-11-26,45,46,44,45,55110100
2021-11-29,46,46,45,45,50231100
2021-11-30,44,45,44,44,77193600
2021-12-01,45,45,43,43,60601600
2021-12-02,44,45,44,44,57821400
2021-12-03,45,45,43,43,74605300
2021-12-06,44,44,43,44,48193100
2021-12-07,44,44,44,44,40740800
2021-12-08,44,44,44,44,50560300
2021-12-09,43,44,43,44,37316700
2021-12-10,44,44,44,44,37700200
2021-12-13,44,44,43,43,38653900
2021-12-14,43,44,43,44,47099400
2021-12-15,44,44,43,43,60057100
2021-12-16,44,45,44,45,69487200
2021-12-17,44,44,43,43,124242400
2021-12-20,43,43,42,43,56455200
2021-12-21,43,44,43,44,47845600
2021-12-22,44,44,43,44,35715700
2021-12-23,44,45,44,44,34053500
2021-12-27,44,44,44,44,33879200
2021-12-28,44,45,44,44,32492400
2021-12-29,44,45,44,44,25294900
2021-12-30,44,45,44,44,23852200
2021-12-31,44,44,44,44,24253900
2022-01-03,45,46,44,46,58587900
2022-01-04,47,48,47,47,74606700
2022-01-05,48,48,47,47,57791600
2022-01-06,47,48,47,48,52040900
2022-01-07,48,49,48,49,59082600
2022-01-10,49,50,48,48,66839500
2022-01-11,48,49,48,49,40454400
2022-01-12,49,49,48,48,41378000
2022-01-13,48,49,48,48,46337500
2022-01-14,47,48,47,47,72953300
2022-01-18,47,47,46,46,65877400
2022-01-19,48,48,46,46,84451800
2022-01-20,46,47,45,45,46265300
2022-01-21,45,46,44,44,71303600
2022-01-24,43,44,42,44,90672700
2022-01-25,44,45,43,45,73555300
2022-01-26,45,46,45,45,63735800
2022-01-27,46,46,45,45,63402400
2022-01-28,45,45,44,45,51048300
2022-01-31,45,46,45,46,44793700
2022-02-01,46,47,45,46,40326600
2022-02-02,46,46,46,46,41125600
2022-02-03,47,47,46,46,35879900
2022-02-04,47,48,46,48,60297100
2022-02-07,48,48,47,48,44824800
2022-02-08,49,50,48,49,49560500
2022-02-09,49,49,49,49,33861100
2022-02-10,49,50,48,49,47082800
2022-02-11,48,49,47,47,61056000
2022-02-14,48,48,46,47,44791900
2022-02-15,48,48,47,47,42397600
2022-02-16,47,48,47,47,36664600
2022-02-17,47,47,45,46,49442400
2022-02-18,46,46,45,45,37856500
2022-02-22,45,45,45,45,51905600
2022-02-23,45,46,44,44,45704900
2022-02-24,43,43,42,43,80484800
2022-02-25,43,45,43,45,68530700
2022-02-28,43,44,43,44,69955300
2022-03-01,43,43,41,42,74895600
2022-03-02,42,43,42,43,70834600
2022-03-03,43,43,42,42,48733800
2022-03-04,41,41,40,40,75572800
2022-03-07,39,40,38,38,109779000
2022-03-08,39,39,38,38,76553800
2022-03-09,40,41,40,41,78207900
2022-03-10,40,41,40,40,48804400
2022-03-11,41,41,40,40,43946600
2022-03-14,40,42,40,41,54262400
2022-03-15,41,41,40,41,41395300
2022-03-16,42,43,41,42,59477600
2022-03-17,42,43,41,43,50260200
2022-03-18,42,42,42,42,74470600
2022-03-21,43,43,42,42,47106400
2022-03-22,43,44,43,44,52360600
2022-03-23,43,44,43,43,48539300
2022-03-24,43,43,42,43,30360800
2022-03-25,43,44,43,43,38968100
2022-03-28,43,43,42,43,37428600
2022-03-29,44,44,43,43,46355800
2022-03-30,43,43,42,43,36601800
2022-03-31,42,42,41,41,67902500
2022-04-01,41,41,40,40,61929200
2022-04-04,40,41,40,40,53761700
2022-04-05,40,40,40,40,51781700
2022-04-06,39,40,39,39,54159800
2022-04-07,39,39,38,39,54585000
2022-04-08,39,40,39,39,41018900
2022-04-11,39,40,39,39,34198700
2022-04-12,39,40,38,39,42855300
2022-04-13,38,39,38,38,45484200
2022-04-14,38,38,37,37,79032000
2022-04-18,37,39,37,38,80080300
2022-04-19,39,39,39,39,53714200
2022-04-20,40,40,39,39,47064300
2022-04-21,40,40,38,38,46245900
2022-04-22,38,38,37,37,50409800
2022-04-25,36,37,35,37,64301100
2022-04-26,36,37,36,36,44809900
2022-04-27,36,36,36,36,39824900
2022-04-28,36,36,36,36,39567800
2022-04-29,36,37,35,35,47385200
2022-05-02,36,36,35,36,46652200
2022-05-03,36,37,36,37,48926000
2022-05-04,37,38,37,38,57860300
2022-05-05,38,38,36,37,48860600
2022-05-06,37,37,36,37,50440100
2022-05-09,36,37,36,36,51242000
2022-05-10,36,37,35,35,60235300
2022-05-11,35,36,35,35,54969300
2022-05-12,35,35,34,35,61231500
2022-05-13,35,35,34,35,49117900
2022-05-16,35,35,34,34,39076500
2022-05-17,35,36,35,35,42635600
2022-05-18,35,35,34,34,47396900
2022-05-19,34,34,34,34,47002700
2022-05-20,34,34,32,33,62406500
2022-05-23,34,36,34,35,69081900
2022-05-24,35,35,34,35,46146700
2022-05-25,35,36,35,35,49343400
2022-05-26,36,36,36,36,60201200
2022-05-27,36,37,36,37,43365600
2022-05-31,36,37,36,37,71609200
2022-06-01,37,37,36,36,35237900
2022-06-02,36,36,36,36,35341900
2022-06-03,36,36,36,36,25235200
2022-06-06,36,37,36,36,40394000
2022-06-07,35,36,35,36,29152200
2022-06-08,35,36,35,35,33590600
2022-06-09,35,35,34,34,49419000
2022-06-10,33,34,33,33,49318200
2022-06-13,32,32,31,32,61216600
2022-06-14,31,32,31,31,49349800
2022-06-15,31,32,31,32,51540100
2022-06-16,31,32,30,31,61363400
2022-06-17,32,32,31,31,80470300
2022-06-21,32,33,32,32,53537200
2022-06-22,32,32,32,32,38305600
2022-06-23,32,32,31,32,44091500
2022-06-24,31,32,31,32,79504700
2022-06-27,32,32,31,32,47900300
2022-06-28,32,33,32,32,49863800
2022-06-29,32,32,31,31,35149700
2022-06-30,31,31,30,31,46312300
2022-07-01,30,31,30,31,40236100
2022-07-05,30,31,30,31,47411800
2022-07-06,31,31,30,30,35933700
2022-07-07,31,32,31,31,40137900
2022-07-08,32,32,31,31,31153800
2022-07-11,31,31,31,31,29311900
2022-07-12,31,32,30,31,39527000
2022-07-13,31,31,30,30,44153700
2022-07-14,30,30,29,30,51707800
2022-07-15,30,32,30,32,77801700
2022-07-18,33,33,32,32,56382900
2022-07-19,32,33,32,33,46874900
2022-07-20,33,33,32,33,35514900
2022-07-21,33,33,32,33,31244000
2022-07-22,33,33,33,33,27115400
2022-07-25,33,33,33,33,30381000
2022-07-26,33,33,32,33,30645700
2022-07-27,33,33,32,33,30344800
2022-07-28,33,33,32,33,40176500
2022-07-29,33,33,33,33,48152500
2022-08-01,33,33,33,33,32336700
2022-08-02,33,33,33,33,37884100
2022-08-03,33,33,33,33,30065800
2022-08-04,33,33,33,33,28404500
2022-08-05,33,34,33,33,35874500
2022-08-08,34,34,33,33,33454300
2022-08-09,33,33,33,33,40196900
2022-08-10,34,35,34,35,61415800
2022-08-11,35,36,35,35,50420800
2022-08-12,36,36,35,36,31821700
2022-08-15,35,36,35,36,24908000
2022-08-16,36,36,36,36,31870200
2022-08-17,36,36,36,36,27125600
2022-08-18,36,36,36,36,23138300
2022-08-19,35,36,35,35,36485400
2022-08-22,34,34,34,34,31210300
2022-08-23,34,34,34,34,26588000
2022-08-24,34,34,34,34,31389400
2022-08-25,34,35,34,35,40576700
2022-08-26,35,35,34,34,36152600
2022-08-29,33,34,33,33,34931000
2022-08-30,34,34,33,34,48194900
2022-08-31,34,34,33,33,44917600
2022-09-01,33,33,32,33,32848900
2022-09-02,33,34,33,33,44000800
2022-09-06,33,33,32,33,40762400
2022-09-07,32,33,32,33,40742600
2022-09-08,33,34,33,34,44361800
2022-09-09,34,35,34,34,37295100
2022-09-12,35,35,35,35,30534000
2022-09-13,34,34,33,34,40959600
2022-09-14,34,34,33,33,32004400
2022-09-15,33,34,33,34,44863300
2022-09-16,34,34,33,34,54281800
2022-09-19,33,34,33,34,29782000
2022-09-20,34,34,33,34,33591100
2022-09-21,34,34,33,33,51667800
2022-09-22,33,33,32,32,47527500
2022-09-23,31,32,31,31,55316100
2022-09-26,31,31,30,31,40360200
2022-09-27,31,31,30,30,43396600
2022-09-28,30,31,30,31,38372900
2022-09-29,30,30,30,30,35220900
2022-09-30,30,31,30,30,42294100
2022-10-03,30,31,30,31,34591700
2022-10-04,31,32,31,32,39758700
2022-10-05,31,32,31,31,35791100
2022-10-06,31,31,31,31,40891900
2022-10-07,31,31,30,30,52304600
2022-10-10,30,31,30,30,37669100
2022-10-11,30,30,29,29,58124000
2022-10-12,29,30,29,29,36137900
2022-10-13,29,31,29,31,67671000
2022-10-14,31,32,31,31,58108500
2022-10-17,33,33,32,33,88896800
2022-10-18,34,35,34,34,81937900
2022-10-19,34,34,33,33,43139900
2022-10-20,33,34,33,33,39549100
2022-10-21,33,35,33,34,54870300
2022-10-24,35,35,34,35,33765600
2022-10-25,34,35,34,35,37132300
2022-10-26,35,36,35,35,41104600
2022-10-27,36,36,35,35,35261900
2022-10-28,36,36,35,36,31659100
2022-10-31,36,36,35,36,32565500
2022-11-01,36,36,36,36,29913200
2022-11-02,36,37,35,36,57380600
2022-11-03,35,36,35,35,30046500
2022-11-04,36,37,36,36,39369400
2022-11-07,37,37,36,37,37533700
2022-11-08,37,37,36,37,32664300
2022-11-09,36,36,36,36,30164400
2022-11-10,37,38,37,38,45702800
2022-11-11,38,38,37,38,35688700
2022-11-14,38,38,37,37,35541400
2022-11-15,38,38,37,37,46082800
2022-11-16,37,37,37,37,23813000
2022-11-17,36,37,36,37,23689700
2022-11-18,37,37,36,37,32041800
2022-11-21,37,37,37,37,27935700
2022-11-22,37,37,37,37,23499300
2022-11-23,37,37,37,37,18934700
2022-11-25,37,37,37,37,16118500
2022-11-28,37,37,36,36,35428300
2022-11-29,36,37,36,37,27048800
2022-11-30,36,37,36,37,51747900
2022-12-01,37,37,36,36,46213200
2022-12-02,36,36,35,36,42295300
2022-12-05,35,35,34,34,71386600
2022-12-06,34,34,32,33,84085700
2022-12-07,32,32,32,32,49234100
2022-12-08,32,32,32,32,45491100
2022-12-09,32,32,32,32,36985500
2022-12-12,32,32,32,32,41060500
2022-12-13,33,33,32,32,54804800
2022-12-14,32,33,32,32,48819500
2022-12-15,31,31,31,31,49027600
2022-12-16,31,31,31,31,61795200
2022-12-19,31,32,31,32,38374100
2022-12-20,32,32,32,32,35561100
2022-12-21,32,32,32,32,32544000
2022-12-22,32,32,31,32,30234400
2022-12-23,32,32,32,32,21378600
2022-12-27,32,32,32,32,22776100
2022-12-28,32,32,32,32,30541000
2022-12-29,32,33,32,33,22252900
2022-12-30,33,33,32,33,28198900
2023-01-03,33,34,33,33,35221500
2023-01-04,33,34,33,34,41998500
2023-01-05,33,34,33,34,34177000
2023-01-06,34,34,33,34,34068700
2023-01-09,34,34,33,33,43818800
2023-01-10,33,34,33,34,35096000
2023-01-11,34,34,34,34,36783700
2023-01-12,34,34,34,34,44230400
2023-01-13,34,35,33,35,89667800
2023-01-17,34,34,34,34,56458400
2023-01-18,34,34,33,33,54517800
2023-01-19,33,33,32,33,42707100
2023-01-20,33,33,33,33,45004400
2023-01-23,33,34,33,34,33683300
2023-01-24,34,34,33,34,26716700
2023-01-25,34,34,34,34,28859700
2023-01-26,35,35,34,35,30035500
2023-01-27,35,35,35,35,29964900
2023-01-30,35,35,35,35,27353500
2023-01-31,35,35,35,35,38917400
2023-02-01,35,36,35,35,44438700
2023-02-02,36,36,35,36,33729100
2023-02-03,36,36,35,36,37411700
2023-02-06,36,36,35,36,29463200
2023-02-07,36,37,36,36,44100200
2023-02-08,36,36,36,36,28032800
2023-02-09,36,36,35,35,35257100
2023-02-10,35,35,35,35,32898900
2023-02-13,35,35,35,35,29163900
2023-02-14,35,35,35,35,33625200
2023-02-15,35,35,35,35,23500100
2023-02-16,35,35,35,35,22681100
2023-02-17,35,35,34,35,28562700
2023-02-21,34,35,34,34,37068900
2023-02-22,34,34,34,34,38550400
2023-02-23,34,34,33,34,28488000
2023-02-24,33,34,33,34,27046600
2023-02-27,34,34,34,34,30137500
2023-02-28,34,34,34,34,32620600
2023-03-01,34,34,33,34,29281600
2023-03-02,33,33,33,33,44607200
2023-03-03,33,34,33,34,39109100
2023-03-06,34,34,33,34,36646700
2023-03-07,33,33,32,33,52855300
2023-03-08,32,32,32,32,40045600
2023-03-09,32,32,30,30,112457900
2023-03-10,30,31,28,30,165330900
2023-03-13,28,29,27,28,218403300
2023-03-14,29,30,28,28,154255800
2023-03-15,27,28,27,28,131104400
2023-03-16,28,29,28,28,108348800
2023-03-17,28,28,27,27,130665500
2023-03-20,28,28,27,27,81441200
2023-03-21,28,28,28,28,84854800
2023-03-22,28,28,27,27,76925900
2023-03-23,28,28,26,26,105335900
2023-03-24,26,27,26,27,96872700
2023-03-27,27,28,27,28,102469800
2023-03-28,28,28,27,28,63416500
2023-03-29,28,28,28,28,62666400
2023-03-30,28,29,28,28,67427100
2023-03-31,28,28,28,28,56482100
2023-04-03,28,28,28,28,51996800
2023-04-04,28,28,27,27,56233300
2023-04-05,27,27,27,27,47799400
2023-04-06,27,28,27,27,41216600
2023-04-10,27,28,27,27,40572700
2023-04-11,28,28,27,28,58761200
2023-04-12,28,29,28,28,44313300
2023-04-13,28,28,28,28,52261400
2023-04-14,29,29,29,29,81110800
2023-04-17,29,30,29,30,83704400
2023-04-18,30,30,29,30,114498800
2023-04-19,30,30,29,30,65594200
2023-04-20,29,30,29,29,43193800
2023-04-21,29,29,29,29,44759000
2023-04-24,29,29,29,29,28020300
2023-04-25,29,29,28,28,49718800
2023-04-26,28,28,28,28,45848400
2023-04-27,28,29,28,28,33060100
2023-04-28,28,29,28,29,45532800
2023-05-01,29,29,29,29,34076800
2023-05-02,28,28,27,28,70797700
2023-05-03,28,28,27,27,51139500
2023-05-04,27,27,26,26,82173800
2023-05-05,27,27,27,27,50050100
2023-05-08,28,28,27,27,34245500
2023-05-09,27,27,27,27,32188800
2023-05-10,27,28,27,27,44446400
2023-05-11,27,27,26,27,34897300
2023-05-12,27,27,26,27,38101300
2023-05-15,27,27,27,27,38722800
2023-05-16,27,27,27,27,33347500
2023-05-17,27,28,27,28,61750400
2023-05-18,28,28,28,28,51146100
2023-05-19,28,28,28,28,49984200
2023-05-22,28,28,28,28,36473700
2023-05-23,28,29,28,28,51400400
2023-05-24,28,28,28,28,50606900
2023-05-25,27,28,27,28,40517800
2023-05-26,28,28,27,28,57879100
2023-05-30,28,28,27,28,41819600
2023-05-31,28,28,27,27,61905200
2023-06-01,27,27,27,27,57426100
2023-06-02,28,28,28,28,66511100
2023-06-05,28,28,28,28,34757800
2023-06-06,28,29,28,29,46297900
2023-06-07,29,29,29,29,44502600
2023-06-08,29,29,28,29,41483100
2023-06-09,29,29,29,29,32671800
2023-06-12,29,29,28,29,41011300
2023-06-13,29,29,29,29,42718800
2023-06-14,29,29,28,29,38322800
2023-06-15,28,29,28,29,42044900
2023-06-16,29,29,29,29,53028200
2023-06-20,29,29,28,28,39040900
2023-06-21,28,29,28,28,39553400
2023-06-22,28,28,27,27,50742900
2023-06-23,27,27,27,27,54998400
2023-06-26,27,28,27,28,47519300
2023-06-27,28,28,27,28,39081800
2023-06-28,28,28,27,28,37803800
2023-06-29,28,29,28,28,68376400
2023-06-30,28,29,28,28,50370700
2023-07-03,28,29,28,29,30995800
2023-07-05,29,29,28,29,37492000
2023-07-06,28,28,28,28,52098000
2023-07-07,28,28,28,28,34231500
2023-07-10,28,28,28,28,36086000
2023-07-11,28,29,28,29,40978700
2023-07-12,29,29,29,29,41855500
2023-07-13,29,29,29,29,39589000
2023-07-14,30,30,29,29,58660500
2023-07-17,29,29,29,29,49477200
2023-07-18,30,30,29,30,98253800
2023-07-19,30,31,30,31,70619800
2023-07-20,31,31,31,31,42128800
2023-07-21,31,32,31,31,70813600
2023-07-24,32,32,31,32,64548600
2023-07-25,32,32,32,32,51208800
2023-07-26,32,32,32,32,41814600
2023-07-27,32,32,31,31,45529500
2023-07-28,32,32,31,31,33296500
2023-07-31,31,32,31,32,29093400
2023-08-01,31,31,31,31,32712000
2023-08-02,31,31,30,31,38855100
2023-08-03,30,31,30,31,27933400
2023-08-04,31,31,31,31,30755100
2023-08-07,31,31,31,31,31745200
2023-08-08,31,31,30,31,45951800
2023-08-09,31,31,30,30,30732100
2023-08-10,31,31,30,30,26062600
2023-08-11,30,31,30,31,35709900
2023-08-14,31,31,30,30,32563700
2023-08-15,30,30,29,29,43406100
2023-08-16,29,29,29,29,47220400
2023-08-17,29,29,29,29,37202200
2023-08-18,29,29,28,29,31418000
2023-08-21,29,29,28,29,34959000
2023-08-22,29,29,28,28,37586400
2023-08-23,28,28,28,28,44686600
2023-08-24,28,28,28,28,31934800
2023-08-25,28,28,28,28,34253200
2023-08-28,28,29,28,28,33075200
2023-08-29,28,29,28,29,30428200
2023-08-30,29,29,28,29,33366400
2023-08-31,28,28,28,28,37243000
2023-09-01,28,29,28,28,35192000
2023-09-05,28,29,28,28,46543600
2023-09-06,28,28,28,28,45022600
2023-09-07,28,28,28,28,35023600
2023-09-08,28,28,27,28,36513900
2023-09-11,28,28,28,28,34168300
2023-09-12,28,29,28,28,42284000
2023-09-13,29,29,28,28,37215700
2023-09-14,29,29,29,29,44634800
2023-09-15,28,29,28,28,61166000
2023-09-18,28,28,28,28,25752300
2023-09-19,28,28,28,28,34888100
2023-09-20,28,28,28,28,26641100
2023-09-21,28,28,28,28,39861300
2023-09-22,28,28,27,27,41284400
2023-09-25,27,27,27,27,32749200
2023-09-26,27,27,27,27,42237400
2023-09-27,27,27,27,27,38296300
2023-09-28,27,27,27,27,36734300
2023-09-29,27,27,27,27,40613400
2023-10-02,27,27,26,26,50388600
2023-10-03,26,26,25,25,62144500
2023-10-04,25,26,25,25,55696400
2023-10-05,25,26,25,26,49044100
2023-10-06,25,26,25,26,58120700
2023-10-09,25,26,25,26,39953700
2023-10-10,26,27,26,27,51960100
2023-10-11,27,27,26,27,38508200
2023-10-12,26,27,26,26,44249800
2023-10-13,27,27,26,26,55089700
2023-10-16,27,27,26,26,56817500
2023-10-17,27,27,26,27,95344200
2023-10-18,27,28,27,27,68371100
2023-10-19,27,27,26,26,58611000
2023-10-20,26,26,26,26,62029800
2023-10-23,26,26,25,25,59857200
2023-10-24,25,25,25,25,55975700
2023-10-25,25,25,25,25,45522400
2023-10-26,25,26,25,26,60921000
2023-10-27,26,26,24,25,64709300
2023-10-30,25,25,25,25,41891900
2023-10-31,25,26,25,26,50106700
2023-11-01,26,26,26,26,44046300
2023-11-02,26,27,26,27,63278300
2023-11-03,28,28,28,28,62595200
2023-11-06,28,28,28,28,45548000
2023-11-07,28,28,27,28,33081900
2023-11-08,28,28,27,27,31896000
2023-11-09,28,28,27,27,32267900
2023-11-10,27,27,27,27,32858500
2023-11-13,27,27,27,27,28521800
2023-11-14,28,29,28,29,66676300
2023-11-15,29,29,29,29,46968900
2023-11-16,29,29,29,29,36952800
2023-11-17,29,30,29,29,38493300
2023-11-20,29,30,29,30,46783400
2023-11-21,29,29,29,29,41611900
2023-11-22,29,29,29,29,41422700
2023-11-24,29,29,29,29,15815600
2023-11-27,29,29,29,29,42039500
2023-11-28,29,29,29,29,29705800
2023-11-29,29,30,29,30,57954900
2023-11-30,30,30,30,30,52547700
2023-12-01,30,31,30,30,46088100
2023-12-04,30,31,30,30,37811300
2023-12-05,30,30,30,30,45723100
2023-12-06,30,31,30,30,49803100
2023-12-07,30,30,30,30,32699600
2023-12-08,30,31,30,30,34786800
2023-12-11,30,31,30,30,32254000
2023-12-12,30,30,30,30,34566700
2023-12-13,30,32,30,32,60311100
2023-12-14,32,34,32,33,107190000
2023-12-15,33,34,33,33,83732200
2023-12-18,33,33,33,33,40694700
2023-12-19,33,33,32,33,44534800
2023-12-20,33,33,32,32,44711400
2023-12-21,33,33,32,33,32325700
2023-12-22,33,33,33,33,37258100
2023-12-26,33,33,33,33,24845400
2023-12-27,33,33,33,33,24498600
2023-12-28,33,33,33,33,21799600
2023-12-29,33,33,33,33,28037800
